	BALF1	BALF2	BALF16	BALF19	BALF25	BALF28	BALF33	BALF39	BALF42	BALF44	BALF45	BALF54	BALF56	BALF59	BALF60	BALF63	BALF65	BALF67	BALF72	BALF76	BALF77	BALF78	BALF81	BALF85	BALF88	BALF95	BALF96	BALF97	BALF105	BALF106	BALF108	BALF109	BALF112	BALF113	BALF114	BALF115	BALF116	BALF120	BALF121	BALF123	BALF126	BALF127	BALF128	BALF133	BALF136	BALF138	BALF143	BALF148	BALF150	BALF153	BALF155	BALF161	BALF162	BALF163	BALF165	BALF166	BALF169	BALF181	BALF182	BALF194	BALF198	BALF203	BALF204	BALF206	BALF208	BALF214	BALF217	BALF218	BALF221	BALF222	BALF225	BALF228	BALF231	BALF237	BALF238	BALF247	BALF248	BALF253	BALF254	BALF255	BALF256	BALF177	BALF259	BALF263	BALF265	BALF267	BALF270	BALF283
VFG002033(gb|WP_010874498)	0.374985919660711	0.391698147781005	0.266681919141719	0	0.350208769306036	0.309151842074743	0.350194155213158	0.34351874486132	0.340038835677801	0.308073552101538	0.326343172415138	0.166723327826534	0.373882904630875	0	0	0.289741845987411	0.331358823550118	0.329579168851621	0.334395857948311	0.206038300691767	0	1	0.0208775600441624	0.347575067667804	0.246547019498852	0.329598179320368	0.296470876795575	0.345547109881031	0.287914940435838	0.13934345390659	0.343682002846699	0.350839190913156	0.258635350133604	0.322440627463856	0.287782438101996	0.279513097760452	0.311909673887779	0.34314236262122	0.0371912741042764	0.0154182925013045	0.373234188950249	0.0955196269788287	0.345006764440074	0.405881402694214	0.349841470192269	0.295490747593788	0.334981831617155	0.338608998930135	0.299187150507563	0	0.310489869521993	0.296173382899075	0.354274606616127	0.0754481796108323	0.234470345369419	0.276782175795242	0.374034934806377	0.333628670241453	0.203591000766075	0.41540661625548	0.356333765570225	0.319974395365539	0.342986622504659	0.355363076325384	0.407485679560861	0.356077120409128	0.365291837548179	0.371521326390662	0.360140661956221	0.35415871579202	0.224274236178801	0	0.352390191903123	0.375481894403691	0.405580687305283	0.366923761544117	0.372295544846188	0.363756639019638	0.300771374512206	0.382134494848198	0.373546555076361	0.341158003210462	0.256906746290012	0.335233402753214	0.367898340386126	0.348563157095702	0	0.350975610049716
VFG002030(gb|WP_010874499)	0.314606095614041	0.291531013086461	0.251917540697469	0	0.25415584174953	0.237546679331842	0.281030697838612	0.240010718846782	0.26604832142092	0.271633103831707	0.300728312089723	0	0.166442813436988	0	0	0.235098447500115	0.22223737857454	0.166359637567524	0.265556882818712	0.108399696617708	0	0	0.00757300246652001	0.280385500903957	0.221623164811078	0.275388181418398	0.252653631001744	0.317271208149585	0.269695548639504	0.119633205592368	0.226353454131944	0.252981253013563	0.219132928021673	0.27702704781839	0.294067563064237	0.24248260490738	0.288502230645821	0.266393365077973	0.0237550856603553	0	0.240636859906483	0	0.305746159262161	0	0.279869766365202	0.343947129342409	0.275707998924534	0.28930193143795	0.215682247810393	0	0.172777381590718	0.533126878344707	0.307541746284812	0.201525244309163	0.287045046819494	0.284344912093554	0.193367024435084	0.267023585183735	0.219030588099716	0.467186716472637	0.262633111472838	0.275554205123262	0.248050077194237	0.287241141024149	0.160060485046828	0.266574053354979	0.241123681515117	0.0862912179425756	0.173736356791078	0.266090754478011	0.227637429810752	0	0.303572946386855	0.282304884304782	0.247056463388678	0.279868761147781	0.272427649631181	0.286005646258069	0.264122605435422	0.282604745596041	0.220768398622162	0.300157472061707	0.276697043425428	0.196992937703185	0.272196246323912	0.278764223078872	0	0.288589223897411
VFG002035(gb|WP_010874803)	0.0614455677720881	0.045630848177465	0.0394887628851416	0	0.0813053524313328	0.0981063678333092	0.0731061515202199	0.0741835535298623	0.0686762268734821	0.0868039610093985	0.0709077420197162	0	0.0497776716338784	0	0	0.0719924210403824	0.0625998371724203	0.0414606636806533	0.0730075245357024	0.0598501835179225	0	0	0.00247073512535139	0.0589520792366597	0.121198323467693	0.0664743090017671	0.0720895646771449	0.184020508631442	0.0862473361806081	0	0.0676950099575171	0.0662886151471192	0.0533170850634725	0.0672642312056827	0.11453447363476	0.122136788546912	0.0845208513726357	0.0498801315572888	0.0103336424016319	0	0.123371512221787	0	0.0688997807296909	0	0.0581057928221868	0.0909529731319285	0.0591189379440733	0.0664081285823311	0.0853194984017304	0	0	0	0.113200993046331	0	0	0	0.0578298338533776	0.0746396807975182	0	0	0.0647211493173605	0.0722954161083616	0.0593470155249805	0.067485377200788	0	0.054199506431974	0.107329946921762	0	0.0590691050159057	0.0522506753070936	0.100326955662163	0	0.0509933673891929	0.0614621289399424	0.0686089964832536	0.0602818399870251	0.0694519433678384	0.0652904125917546	0.0724079983702071	0.0591655062631251	0.0445881092102699	0.0920691372746585	0.110334869458815	0.17138684347234	0.0692400218279073	0.063871552446378	1	0.0574203307151926
VFG002029(gb|WP_010874666)	0.0717118306301056	0.0511246116468794	0.0535573701998821	0	0.0660432784414051	0.079595767483649	0.0604557768625416	0.0915803543316905	0.0666697153551305	0.0697586751180533	0.0484846562170677	0.0331593155826275	0.111541390643039	0.00364498037099655	0	0.0817907555127469	0.0653742345603211	0.0743237669762915	0.0678325067039163	0.0782318781442809	0	0	0.00230683442618019	0.0673782484485775	0.0551647261880335	0.0593264702747152	0.0903414511620761	0.0257719761263661	0.109157415951997	0	0.0674179611720334	0.0639281664118438	0.0448021795049575	0.0974198992940454	0.0494963790640562	0.0833878180601092	0.0562262301891699	0.0667521142399891	0	0	0.138224926832327	0	0.0615917764292589	0	0.0496011333371519	0.0727880936318504	0.0749519546279176	0.060949021883688	0.073709192893848	0	0.123505591004045	0.0460998893189946	0	0	0.104925157301103	0.0254071063105766	0.0431948694862318	0.0794919335064706	0.111352624815799	0.117406667271883	0.070577270432678	0.068332599442608	0.088656197646993	0.0641647335364554	0.107264283272173	0.0642554180284403	0.0751575150586006	0.0578279245035732	0.0600529286044262	0.0419803735209788	0.09634791595358	0	0.0451657596261812	0.055121928650206	0.0568306722630699	0.0554066734549066	0.0586554056673559	0.0590637017717693	0.0295002250344309	0.050621724376155	0.0499563312647224	0.054671554665118	0.0445027416297654	0.0840092327163415	0.0625997087578224	0.0655565559306765	0	0.0607594153673741
VFG043671(gb|WP_010874728)	0.0572895155037198	0.0336615595749302	0.0733375277639727	0	0.0714479458603328	0.10481517933356	0.0796108046184579	0.0626631502672559	0.068523076324483	0.0578882436312677	0.0807699351727466	0.0679243187441435	0.128522248466863	0	0	0.107705635336163	0.0798163589573278	0.128458022505159	0.0716846384859486	0.0515095751729417	0	0	0	0.0484039104302478	0.117346898703781	0.0863767505830295	0.106622558847563	0	0.126462638767825	0	0.103575398118183	0.0712532688132009	0.107069472904772	0.056478453855134	0.0563275234719209	0.0262790091911536	0.0788040342154635	0.0826779407832088	0	0	0	0	0.0668679998898149	0.223234771481818	0.0571523193878459	0.022365125391273	0.0749813983561656	0.0711596422424138	0.0778530004546561	0	0.166025833008288	0	0	0	0	0.136616843180985	0.088481382427315	0.0635121825766216	0	0	0.0562425259122982	0.0704675512192931	0.0749122406553498	0.0671392071683454	0	0.0752127447836119	0.0461863242877008	0	0.0602516696808888	0.067453680073389	0	0	0.0569345230492194	0.059684335830136	0.0585430946834323	0.0506384162906867	0.0573823218582384	0.0655238487317034	0.135965141902778	0.0571399741478575	0.200727602871493	0.0602213029315765	0.0607736389073147	0.147502697211414	0.0585976823242626	0.0575154658529082	0	0.0524688570017433
VFG002034(gb|WP_010874808)	0.0814062471987935	0.0690903927085243	0.0582171278274221	0	0.0722436238775271	0.133177748085038	0.0579810976006612	0.0946421046622448	0.0676920121981605	0.066747811378698	0.0394715218938963	0	0	0	0	0.0397307467548824	0.0666994357765247	0.0753315000723667	0.0681194147378162	0.0755167620167942	0	0	0.00249398622360878	0.0615588141027374	0.0688156156836436	0.0493381412411508	0.0598314425628175	0	0.0483660973903691	0	0.0911094140950437	0.082581797435805	0.0403641230904	0.0670692129584296	0.0718447936824619	0.0751275091883797	0.0666533150296525	0.0769228983855663	0	0	0.124532512089154	0	0.0577101827527562	0	0.0418947165398771	0.0393466693362068	0.0989353369097697	0.0568323844776885	0.0824907382907365	0	0	0.124599849437223	0	0	0.165429919256433	0.0686709158676655	0	0.0603375171652136	0.15048322774141	0	0.0556575367869103	0.0662292812190956	0.0479244052065023	0.0543713723751104	0	0.0655242359973357	0.04062749476719	0	0.0828124731869571	0.0541303429884311	0	0	0.0772098683054792	0.0621333994444648	0.0523849262464242	0.0655858867134684	0.0690418577013062	0.0621787661214101	0.0996673650401743	0.0620056139930454	0.0415455784983564	0.0557613378204321	0.0534591296183214	0.0648748861435047	0.067853106581371	0.0678305710977874	0	0.0729875361091322
VFG002031(gb|WP_010874665)	0.0385548236205405	0.0327219101286677	0.0599882120650157	0	0.0520901280164003	0	0.0611618788169984	0.0551673351920669	0.0614662934146318	0.0741425780498996	0.0785152735997799	0	0	0	0	0.106387768830381	0.0562515291699262	0	0.0619291656366053	0.0751075578876392	0	0	0.00310059001568111	0.0518713874252807	0.114071205308109	0.0768775736748197	0.0670126495219947	0	0.0721560226338585	0	0.0377565490677121	0.0631802383565328	0.144969504481901	0.0576469735900678	0.0410663717923364	0.0862158626665433	0.0795505673171636	0.053322415768481	0	0	0	0	0.0588691974120575	0	0.0694461680574811	0.0869632461847855	0.0390473151186225	0.0573149771530735	0.0438598632207601	0	0	0	0	0	0	0	0.129017188169878	0.0550361443613996	0	0	0.0693920668323013	0.0611572902885862	0.0794411938521578	0.055941464663843	0	0.0738162216709189	0	0	0.0274545785491734	0.0914539221321689	0	0	0.0536156797516048	0.0494848782825106	0.0706455146307293	0.0600211153833822	0.0478462188825332	0.054430081119896	0	0.0439443989679952	0.0688674244566351	0.0277295913939538	0	0	0.0434455555681266	0.0653107308311851	0	0.0480388481106578
VFG002036(gb|WP_010874809)	0	0.084541516896067	0.0154025069396973	0	0.0436053442776464	0.0376064158578591	0.0313275909161353	0.0229069821354332	0.0517448700492012	0.055572713886017	0.0386390316139523	0	0	0	0	0.0398900401917551	0.0257734279105844	0.0768153023465194	0.0483026246968733	0.221772134562775	0	0	0	0.0740701767144664	0	0.0470901161147812	0.049467519465327	0	0	0	0	0.0352379802130739	0.13170935679922	0.0425539477773955	0.0848804571882327	0.0848573096790705	0.0260990144087018	0.0462071400517066	0	0	0	0	0.0353081390841863	0	0.0820222377638904	0.0481460153877585	0	0.0432814918380179	0.0647531071550131	0	0	0	0	0	0	0	0	0.0507833513880187	0	0	0.054716504929503	0.0559764670937252	0.0513117893017801	0.0275299813982064	0	0.0389212805173936	0.12428319990145	0	0	0.0509506585051946	0	0	0.0229808438489576	0.0446625918892976	0.0282475019864386	0.0514958520511916	0.0415311300019752	0.0290658738792667	0.0975652897047815	0.0502912678659231	0	0.0682316006420924	0.0981218024539918	0	0.0477497374773406	0.0386237406731614	0	0.0512220283491014
VFG001355(gb|WP_000698569)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392511217129876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0762192432596984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0820208238671544	0	0	0	0	0	0	0	0	0	0.049650596396278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG005197(gb|WP_000006706)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281262459031169	0	0	0	0	0.127389197211576	0	0	0	0	0	0	0	0	0	0	0.0810732279544702	0.0378939918359355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323088663506215	0	0	0	0	0	0	0	0	0	0	0.000650766923730889	0	0	0	0	0	0	0	0
VFG038600(gb|WP_016349156)	0	0	0.0075908412337218	0.0190265850760521	0.00117218667413028	0	0	0	0	0	0	0	0	0.00792140895441186	0	0	0	0.0302856030756887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352022704280715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG046465(gb|WP_003028672)	0	0	0.0080424482438293	0	0.00772752936565885	0	0.0051318466132165	0	0.0091406486861899	0.00937936099342059	0.0161403549779801	0	0	0	0.00430460603892058	0	0.00996862542251857	0	0.00917138443611519	0	0	0	0	0.00699225010820966	0	0.00924684201539846	0.00551030596575795	0	0	0	0	0.0137094896957045	0	0	0	0	0	0.00714878397424434	0	0	0	0.196842978128523	0	0	0	0	0	0.00643282022055592	0.00795551949410065	0	0	0	0	0	0	0	0.0497287769591492	0.0114225454436537	0	0	0.00972606874588526	0.0100127941395283	0	0.0207636463077189	0	0.00541941880621936	0	0	0	0.00886799436008135	0	0	0.0266655361116597	0.00966395825496929	0.0121021430126903	0.00977769342744145	0.0113679280433839	0.0136888795447775	0	0.0093974038809139	0	0	0	0	0.0104196007531321	0.0091540241832432	0	0.0128013508045466
