	BALF1	BALF2	BALF16	BALF19	BALF25	BALF28	BALF33	BALF39	BALF42	BALF44	BALF45	BALF54	BALF56	BALF59	BALF60	BALF63	BALF65	BALF67	BALF72	BALF76	BALF77	BALF78	BALF81	BALF85	BALF88	BALF95	BALF96	BALF97	BALF105	BALF106	BALF108	BALF109	BALF112	BALF113	BALF114	BALF115	BALF116	BALF120	BALF121	BALF123	BALF126	BALF127	BALF128	BALF133	BALF136	BALF138	BALF143	BALF148	BALF150	BALF153	BALF155	BALF161	BALF162	BALF163	BALF165	BALF166	BALF169	BALF181	BALF182	BALF194	BALF198	BALF203	BALF204	BALF206	BALF208	BALF214	BALF217	BALF218	BALF221	BALF222	BALF225	BALF228	BALF231	BALF237	BALF238	BALF247	BALF248	BALF253	BALF254	BALF255	BALF256	BALF177	BALF259	BALF263	BALF265	BALF267	BALF270	BALF283
K00571: site_specific_DNA_methyltransferase_adenine_specific	2036.534	1935.388	390.1044	0	2447.076	426.898	2834.166	1518.989	2635.889	2254.591	2308.613	0	0	25.4038	0	1532.595	987.643	352.982	2879.681	0	0	0	57.2984	2302.356	0	2221.003	2689.729	0	1048.706	0	0	2453.412	0	1343.404	1021.82	790.468	1584.476	2080.474	0	0	0	0	1459.109	218.816	268.571	556.623	481.527	2688.165	1156.781	0	0	0	0	0	0	0	157.419	2507.901	0	0	1904.403	2838.998	1227.284	1935.636	0	1526.61	783.623	0	129	1328.718	0	0	1687.868	2507.124	1735.903	2354.657	2447.562	2284.934	0	2101.727	219.276	565.909	0	0	2395.494	2762.869	0	1666.855
K02057: simple_sugar_transport_system_permease_protein	583.754	541.514	183.3581	195.7811	1732.334	747.921	1533.41	820.892	1809.149	1717.019	792.408	0	0	223.216	0	1143.729	683.61	0	1572.72	0	0	0	142.962	1550.789	0	1359.124	985.846	0	1452.52	0	566.405	1349.865	237.23	423.111	1288.456	1314.74	624.897	1310.009	66.0214	0	0	0	1115.177	0	104.726	0	266.36	1925.642	539.135	0	0	0	0	0	0	0	0	1562.554	228.972	0	1188.665	1624.903	509.355	1043.087	0	1008.778	0	186.784	148.923	1298.313	0	0	1864.215	2061.457	630.365	1960.785	2072.17	1835.516	346.316	1858.659	456.559	492.864	0	0	1532.664	1292.018	0	1708.798
K16787: energy_coupling_factor_transport_system_ATP_binding_protein	1437.95	1418.309	245.6011	0	1278.515	0	1748.265	960.886	2009.669	1353.46	1420.349	0	0	0	0	1146.716	841.479	0	1670.412	0	0	0	105.3146	1504.354	0	1712.624	1162.745	0	1056.573	0	137.965	1660.597	440.445	419.078	1176.946	412.816	445.442	1397.126	242.619	107.142	0	0	1017.979	0	278.858	0	718.95	1689.795	624.94	0	0	0	146.367	0	0	0	0	1541.672	0	0	1613.587	1876.942	580.357	1553.317	0	1309.256	301.514	0	494.4435	859.827	230.797	0	1670.605	1953.366	898.287	1885.816	1730.059	1764.043	298.522	1799.461	0	734.486	0	0	1823.889	1337.458	0	1451.181
K02518: translation_initiation_factor_IF_1	745.938	0	299.7111	81.6424	972.129	983.563	1362.64	931.096	1746.03	802.065	1867.57	46.9489	0	46.54	771.349	969.748	558.33	563.54	1016.55	0	0	0	369.847	610.767	108.646	828.5092	716.516	0	0	0	0	827.137	0	439.89	463.848	535.371	1066.49	1372.82	76.1741	203.366	294.658	0	910.4695	0	484.317	0	0	1263.8225	371.223	478.0968	0	0	0	0	0	0	0	1238.04	0	192.279	106.341	1236.25	259.967	1253.73	0	1465.91	391.026	253.657	335.425	934.5255	0	0	721.784	1417.2	609.608	1776.59	1202.49	1026.79	719.764	1576.6384	757.926	0	426.954	0	614.852	1187.017	0	538.1444
K00876: uridine_kinase	0	1489.47	137.492	141.23	929.759	0	1297.31	439.904	899.341	1002.01	759.32	0	0	0	0	691.98	357.68	0	823.193	0	0	0	148.237	1131.95	0	842.242	569.504	0	891.809	0	0	907.421	530.336	431.86	579.574	0	253.823	636.393	0	0	0	0	664.047	0	0	816.638	325.328	902.103	397.578	0	0	0	338.826	0	0	0	0	825.154	0	0	642.988	901.88	646.992	543.487	0	959.341	0	0	327.7713	1322.96	0	0	689.608	1101.44	545.605	1121.85	1013.72	1242.28	751.424	1006.48	135.289	349.731	0	0	861.194	895.091	0	679.399
K06147: ATP_binding_cassette_subfamily_B_bacterial	1054.35	1517.678	251.0277	0	1431.778	630.501	1056.871	895.145	1718.489	1428.711	980.626	0	0	82.4925	0	1285.774	757.747	206.283	1839.519	0	0	0	194.2958	1698.787	0	1651.387	1240.048	0	552.874	0	0	2200.04	233.907	633.679	1122.373	246.09	954.561	1149.89	66.407	0	0	0	1195.636	0	113.864	719.911	337.271	1870.134	760.885	0	0	0	0	0	0	0	0	1790.974	0	0	1288.569	1995.966	442.73	1213.081	0	1280.046	0	0	315.666	717.199	0	0	1553.19	2080.43	1157.333	2176.21	2246.73	1880.077	0	1976.236	0	742.048	0	0	1776.952	1665.911	0	1179.568
K01255: leucyl_aminopeptidase	1209.97	566.119	126.234	37.7332	967.332	315.446	872.676	562.573	900.091	725.568	849.08	0	0	60.4662	0	703.373	230.255	195.831	866.498	0	0	0	122.818	922.552	0	509.22	380.06	0	862.756	0	124.77	971.55	376.828	390.671	446.264	316.89	552.53	568.451	0	0	0	0	413.005	0	0	375.965	359.693	993.214	370.911	0	0	0	0	0	0	0	0	818.575	0	0	621.577	908.405	346.028	636.266	0	686.591	0	0	65.9916	548.545	0	0	791.715	1021.55	497.679	864.324	967.479	810.612	257.88	919.518	0	615.347	0	0	825.325	606.188	0	537.055
K01992: ABC_2_type_transport_system_permease_protein	779.974	324.081	129.8932	0	1851.749	290.959	1851.281	1084.126	1656.511	1452.783	1235.751	0	0	0	0	1085.013	538.947	137.03	1590.783	0	0	0	32.2006	1133.732	0	1335.444	1378.63	0	452.757	0	142.847	1733.707	0	434.318	899.085	408.283	356.764	1222.616	202.8669	49.1884	0	0	1130.961	0	187.5001	413.054	536.903	1522.463	398.318	0	0	0	0	0	0	0	107.233	1401.44	299.218	0	1388.082	1612.023	654.523	1092.544	0	894.455	196.63	0	161.555	693.042	0	0	968.997	1777.869	750.957	1687.799	1746.532	1458.653	0	1380.793	214.083	450.401	0	0	1539.713	1426.133	0	1195.539
K05985: ribonuclease_M5	845.91	2681.11	299.486	0	881.574	0	669.612	422.353	979.931	686.567	605.105	0	0	24.3322	0	527.863	673.089	0	855.146	0	0	0	0	431.422	0	512.854	528.883	0	566.575	0	0	1554.89	0	498.845	625.765	849.97	483.769	685.685	83.5486	322.564	0	0	421.875	0	252.818	0	206.684	1094.06	926.036	0	0	0	0	0	0	0	0	682.975	232.218	0	627.08	1021.23	294.808	771.807	0	387.886	798.177	0	0	672.391	0	0	513.226	1096.56	655.8	886.411	927.834	1033.11	0	1239.32	0	555.468	290.505	471.426	1389.79	871.127	0	539.604
K02078: acyl_carrier_protein	0	1154.57	46.1113	214.5631	1294.97	0	754.164	386.493	1527.52	400.419	2140.16	0	0	326.5628	423.873	1127.1	203.9719	488.186	911.868	1165.2	116.702	0	240.002	877.44	0	1142.67	305.67	0	691.293	88.1521	0	2150.7	0	1015.388	385.081	0	1180.52	865.0634	31.7531	75.6632	0	0	585.578	1365.53	154.235	425.974	57.2886	1124.11	308.185	0	0	0	0	0	0	219.317	240.881	938.467	0	0	1500.81	1179.856043	1736.93	1104.13	0	101.415	324.625	0	73.8833	177.475	0	478.261	1024.69	877.635	847.874	1305.34	1230.95	1419.84	0	974.26	0	406.645	0	0	729.204	757.0218	0	1365.886
