KO ID	Pathway
K00604 MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]	map00970 Aminoacyl-tRNA biosynthesis
K01866 YARS; tyrosyl-tRNA synthetase [EC:6.1.1.1]	map00970 Aminoacyl-tRNA biosynthesis
K01867 WARS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]	map00970 Aminoacyl-tRNA biosynthesis
K01868 TARS; threonyl-tRNA synthetase [EC:6.1.1.3]	map00970 Aminoacyl-tRNA biosynthesis
K01869 LARS; leucyl-tRNA synthetase [EC:6.1.1.4]	map00970 Aminoacyl-tRNA biosynthesis
K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	map00970 Aminoacyl-tRNA biosynthesis
K01872 AARS; alanyl-tRNA synthetase [EC:6.1.1.7]	map00970 Aminoacyl-tRNA biosynthesis
K01873 VARS; valyl-tRNA synthetase [EC:6.1.1.9]	map00970 Aminoacyl-tRNA biosynthesis
K01874 MARS; methionyl-tRNA synthetase [EC:6.1.1.10]	map00970 Aminoacyl-tRNA biosynthesis
K01875 SARS; seryl-tRNA synthetase [EC:6.1.1.11]	map00970 Aminoacyl-tRNA biosynthesis
K01876 DARS2; aspartyl-tRNA synthetase [EC:6.1.1.12]	map00970 Aminoacyl-tRNA biosynthesis
K01880 GARS; glycyl-tRNA synthetase [EC:6.1.1.14]	map00970 Aminoacyl-tRNA biosynthesis
K01881 PARS; prolyl-tRNA synthetase [EC:6.1.1.15]	map00970 Aminoacyl-tRNA biosynthesis
K01883 CARS; cysteinyl-tRNA synthetase [EC:6.1.1.16]	map00970 Aminoacyl-tRNA biosynthesis
K01885 EARS; glutamyl-tRNA synthetase [EC:6.1.1.17]	map00970 Aminoacyl-tRNA biosynthesis
K01887 RARS; arginyl-tRNA synthetase [EC:6.1.1.19]	map00970 Aminoacyl-tRNA biosynthesis
K01889 FARSA; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	map00970 Aminoacyl-tRNA biosynthesis
K01890 FARSB; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	map00970 Aminoacyl-tRNA biosynthesis
K01892 HARS; histidyl-tRNA synthetase [EC:6.1.1.21]	map00970 Aminoacyl-tRNA biosynthesis
K01893 NARS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	map00970 Aminoacyl-tRNA biosynthesis
K02433 gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	map00970 Aminoacyl-tRNA biosynthesis
K02434 gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	map00970 Aminoacyl-tRNA biosynthesis
"K04567 KARS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"	map00970 Aminoacyl-tRNA biosynthesis
K00525 E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	map01232 Nucleotide metabolism
K00526 E1.17.4.1B; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	map01232 Nucleotide metabolism
K00560 thyA; thymidylate synthase [EC:2.1.1.45]	map01232 Nucleotide metabolism
K00758 deoA; thymidine phosphorylase [EC:2.4.2.4]	map01232 Nucleotide metabolism
K00759 APRT; adenine phosphoribosyltransferase [EC:2.4.2.7]	map01232 Nucleotide metabolism
K00760 hprT; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	map01232 Nucleotide metabolism
K00761 upp; uracil phosphoribosyltransferase [EC:2.4.2.9]	map01232 Nucleotide metabolism
K00857 tdk; thymidine kinase [EC:2.7.1.21]	map01232 Nucleotide metabolism
K00876 udk; uridine kinase [EC:2.7.1.48]	map01232 Nucleotide metabolism
K00939 adk; adenylate kinase [EC:2.7.4.3]	map01232 Nucleotide metabolism
K00942 gmk; guanylate kinase [EC:2.7.4.8]	map01232 Nucleotide metabolism
K00943 tmk; dTMP kinase [EC:2.7.4.9]	map01232 Nucleotide metabolism
K01489 cdd; cytidine deaminase [EC:3.5.4.5]	map01232 Nucleotide metabolism
K03784 deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]	map01232 Nucleotide metabolism
K09903 pyrH; uridylate kinase [EC:2.7.4.22]	map01232 Nucleotide metabolism
K03657 uvrD; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	map03420 Nucleotide excision repair
K03701 uvrA; excinuclease ABC subunit A	map03420 Nucleotide excision repair
K03702 uvrB; excinuclease ABC subunit B	map03420 Nucleotide excision repair
K03703 uvrC; excinuclease ABC subunit C	map03420 Nucleotide excision repair
K02314 dnaB; replicative DNA helicase [EC:5.6.2.3]	map03030 DNA replication
K02316 dnaG; DNA primase [EC:2.7.7.101]	map03030 DNA replication
K02335 polA; DNA polymerase I [EC:2.7.7.7]	map03030 DNA replication
K02337 dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]	map03030 DNA replication
K02338 dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	map03030 DNA replication
K02340 holA; DNA polymerase III subunit delta [EC:2.7.7.7]	map03030 DNA replication
K02341 holB; DNA polymerase III subunit delta [EC:2.7.7.7]	map03030 DNA replication
K02343 dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	map03030 DNA replication
K03111 ssb; single-strand DNA-binding protein	map03030 DNA replication
K03470 rnhB; ribonuclease HII [EC:3.1.26.4]	map03030 DNA replication
"K03763 polC; DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"	map03030 DNA replication
K04043 dnaK; molecular chaperone DnaK	map03018 RNA degradation
K04077 groEL; chaperonin GroEL [EC:5.6.1.7]	map03018 RNA degradation
K12573 rnr; ribonuclease R [EC:3.1.13.1]	map03018 RNA degradation
K12574 rnj; ribonuclease J [EC:3.1.-.-]	map03018 RNA degradation
K18682 rny; ribonucrease Y [EC:3.1.-.-]	map03018 RNA degradation
K03040 rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	map03020 RNA polymerase
K03043 rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	map03020 RNA polymerase
K03046 rpoC; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	map03020 RNA polymerase
K03048 rpoE; DNA-directed RNA polymerase subunit delta	map03020 RNA polymerase
K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	map01200 Carbon metabolism
K00161 PDHA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	map01200 Carbon metabolism
K00162 PDHB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	map01200 Carbon metabolism
K00382 DLD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]	map01200 Carbon metabolism
K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]	map01200 Carbon metabolism
K00615 E2.2.1.1; transketolase [EC:2.2.1.1]	map01200 Carbon metabolism
K00625 pta; phosphate acetyltransferase [EC:2.3.1.8]	map01200 Carbon metabolism
K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	map01200 Carbon metabolism
K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]	map01200 Carbon metabolism
K00873 PK; pyruvate kinase [EC:2.7.1.40]	map01200 Carbon metabolism
K00925 ackA; acetate kinase [EC:2.7.2.1]	map01200 Carbon metabolism
K00926 arcC; carbamate kinase [EC:2.7.2.2]	map01200 Carbon metabolism
K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3]	map01200 Carbon metabolism
K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	map01200 Carbon metabolism
K01491 folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	map01200 Carbon metabolism
"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	map01200 Carbon metabolism
K01689 ENO1_2_3; enolase 1/2/3 [EC:4.2.1.11]	map01200 Carbon metabolism
K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	map01200 Carbon metabolism
K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]	map01200 Carbon metabolism
K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	map01200 Carbon metabolism
K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]	map01200 Carbon metabolism
"K15633 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	map01200 Carbon metabolism
K02036 pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]	map02010 ABC transporters
K02037 pstC; phosphate transport system permease protein	map02010 ABC transporters
K02038 pstA; phosphate transport system permease protein	map02010 ABC transporters
K02040 pstS; phosphate transport system substrate-binding protein	map02010 ABC transporters
K02041 phnC; phosphonate transport system ATP-binding protein [EC:7.3.2.2]	map02010 ABC transporters
K02042 phnE; phosphonate transport system permease protein	map02010 ABC transporters
K02044 phnD; phosphonate transport system substrate-binding protein	map02010 ABC transporters
K10112 msmX; multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	map02010 ABC transporters
K10823 oppF; oligopeptide transport system ATP-binding protein	map02010 ABC transporters
K11069 potD; spermidine/putrescine transport system substrate-binding protein	map02010 ABC transporters
K11070 potC; spermidine/putrescine transport system permease protein	map02010 ABC transporters
K11071 potB; spermidine/putrescine transport system permease protein	map02010 ABC transporters
K11072 potA; spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]	map02010 ABC transporters
K15581 oppB; oligopeptide transport system permease protein	map02010 ABC transporters
K15582 oppC; oligopeptide transport system permease protein	map02010 ABC transporters
K15583 oppD; oligopeptide transport system ATP-binding protein	map02010 ABC transporters
K16785 ecfT; energy-coupling factor transport system permease protein	map02010 ABC transporters
K16786 ecfA1; energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	map02010 ABC transporters
K16787 ecfA2; energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	map02010 ABC transporters
K00882 fruK; 1-phosphofructokinase [EC:2.7.1.56]	map02060 Phosphotransferase system (PTS)
K02768 fruB; fructose PTS system EIIA component [EC:2.7.1.202]	map02060 Phosphotransferase system (PTS)
K02769 fruAb; fructose PTS system EIIB component [EC:2.7.1.202]	map02060 Phosphotransferase system (PTS)
K02770 fruA; fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]	map02060 Phosphotransferase system (PTS)
K02777 crr; sugar PTS system EIIA component [EC:2.7.1.-]	map02060 Phosphotransferase system (PTS)
K02779 ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]	map02060 Phosphotransferase system (PTS)
K02798 cmtB; mannitol PTS system EIIA component [EC:2.7.1.197]	map02060 Phosphotransferase system (PTS)
K02800 mtlA; mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]	map02060 Phosphotransferase system (PTS)
K08483 ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]	map02060 Phosphotransferase system (PTS)
K03070 secA; preprotein translocase subunit SecA [EC:7.4.2.8]	map03070 Bacterial secretion system
K03073 secE; preprotein translocase subunit SecE	map03070 Bacterial secretion system
K03075 secG; preprotein translocase subunit SecG	map03070 Bacterial secretion system
K03076 secY; preprotein translocase subunit SecY	map03070 Bacterial secretion system
K03106 SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]	map03070 Bacterial secretion system
K03110 ftsY; fused signal recognition particle receptor	map03070 Bacterial secretion system
K03217 yidC; YidC/Oxa1 family membrane protein insertase	map03070 Bacterial secretion system
K12257 secDF; SecD/SecF fusion protein	map03070 Bacterial secretion system
K01507 ppa; inorganic pyrophosphatase [EC:3.6.1.1]	map00190 Oxidative phosphorylation
K02108 ATPF0A; F-type H+-transporting ATPase subunit a	map00190 Oxidative phosphorylation
K02109 ATPF0B; F-type H+-transporting ATPase subunit b	map00190 Oxidative phosphorylation
K02111 ATPF1A; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	map00190 Oxidative phosphorylation
K02112 ATPF1B; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	map00190 Oxidative phosphorylation
K02113 ATPF1D; F-type H+-transporting ATPase subunit delta	map00190 Oxidative phosphorylation
K02114 ATPF1E; F-type H+-transporting ATPase subunit epsilon	map00190 Oxidative phosphorylation
K02115 ATPF1G; F-type H+-transporting ATPase subunit gamma	map00190 Oxidative phosphorylation
K02821 ulaC; ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]	map00053 Ascorbate and aldarate metabolism
K02822 ulaB; ascorbate PTS system EIIB component [EC:2.7.1.194]	map00053 Ascorbate and aldarate metabolism
K03077 araD; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	map00053 Ascorbate and aldarate metabolism
K03078 ulaD; 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]	map00053 Ascorbate and aldarate metabolism
K03079 ulaE; L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	map00053 Ascorbate and aldarate metabolism
K03475 ulaA; ascorbate PTS system EIIC component	map00053 Ascorbate and aldarate metabolism
K00858 ppnK; NAD+ kinase [EC:2.7.1.23]	map00760 Nicotinate and nicotinamide metabolism
K01916 nadE; NAD+ synthase [EC:6.3.1.5]	map00760 Nicotinate and nicotinamide metabolism
K03462 NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	map00760 Nicotinate and nicotinamide metabolism
K03743 pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]	map00760 Nicotinate and nicotinamide metabolism
